"","R0_average","Case_average_onset","CCase_average_onset","Inf_quantile_n_average","H_quantile_n_average"
"148",0.358043071909138,43.13,92.685,264.704084379159,7.32805876201406
"149",0.273460889011093,41.25,96.82,243.335372075656,7.81399766351845
"150",0.299022079629587,38.19,99.994,226.630489627349,8.26462507247938
"151",0.317885894866379,36.33,104.457,212.778028857621,8.66983477545232
"152",0.376887780258587,35.08,107.719,205.04001317831,9.02104199844692
"153",0.46919322471216,32.46,110.969,205.985615484156,9.31235928261201
"154",0.541706425271654,31.04,113.725,212.654447589293,9.54159393212704
"155",0.761843162556401,31.75,117.223,232.339887167617,9.71104737479429
"156",0.866692846817351,32.25,120.043,255.057481008426,9.8276992847934
"157",0.805290272269987,34.04,124.313,273.318583827723,9.90318014442725
"158",0.935218137961455,36.87,127.395,298.117433878939,9.95275671358063
"159",0.793656037379471,39.55,131.265,310.949034818247,9.99284951495414
"160",0.80343878008747,42.67,135.384,322.52396229962,10.0390901759575
"161",0.602931602242117,45.43,140.294,319.042932494239,10.1042949460354
"162",0.593617051399151,45.7,144.43,313.749284500639,10.196776812512
"163",0.517379248690503,46.45,149.751,305.842015686822,10.3191450419704
"164",0.48385195300621,45.02,154.183,295.924550951019,10.4683266984896
"165",0.477122268452205,44.81,158.994,287.011210719968,10.6371209436523
